id;file_name;file_path;document_type;ocr_raw;store_ged
1;Buckinghamshire e-tailers withdrawal;system Personal Practical;communities hard cultivate;EXE Midi-Pyrénées;transmit TCP haptic
2;Limousin Account;syndicate Aquitaine;Hat Compatible Concrete;Azerbaïdjan IB;Picardie supply-chains
3;functionalities Producteur;24/7 c;parse;connect;Buckinghamshire Bonaparte transmitting
4;deposit Incredible morph;experiences ROI Buckinghamshire;Fresh;engineer;metrics Right-sized Maroc
5;protocol harness Developpeur;feed generate Cambridgeshire;extend Ball;Innovative Bourgogne d'Alésia;Saint-Jacques enhance
6;Maldives;Érythrée;Licensed a generating;ivory Salad monitor;grey connecting
7;Metal mesh calculating;azure Saint-Dominique;website a Optimized;orchid;schemas Liberia Auto
8;SMTP Chips Frozen;Advanced Account;Équateur Bike Bedfordshire;Rivoli internet Tuna;Bedfordshire
9;Licensed;Berkshire back-end Unbranded;Granite;Refined;bypass revolutionary Home
10;quantifying Stagiaire Berkshire;Account firmware;navigating systemic;program cross-media;microchip client-driven a
