id;document_series_name;classification_file_net;n_trees_category;n_two_category
1;compressing Steel;Small Superviseur;Sports calculating;Corse Synergistic b
2;Berkshire Dauphine Salad;rich Automotive;enable l'Abbaye;Awesome
3;synergies Aquitaine;primary Champagne-Ardenne;mission-critical generating neutral;Pants reintermediate Generic
4;Kwacha optical;up;Generic Bourgogne back-end;Pants
5;Metical;b strategic Rubber;Ergonomic silver;driver markets exploit
6;reboot ROI Faubourg;client-driven;c background;Coordinateur cross-platform
7;solid ROI orange;web-readiness;even-keeled;transmit Auto
8;Specialiste revolutionize;Consultant Metal robust;Rustic;Account invoice Haute-Normandie
9;Metal;Rubber;Sausages architect;GB CSS AI
10;Poitou-Charentes;withdrawal;AI d'Orsel;Account red
