id;process_state;customer_id;creation_date;last_update_date;reception_date;notes
1;invoice up;copy Designer ADP;2023-02-27;2023-02-27;2023-02-27;b Singapour Swaziland
2;implementation Beauty synthesize;auxiliary Horizontal Papouasie-Nouvelle-Guinée;2023-02-27;2023-02-27;2023-02-27;Cloned
3;Languedoc-Roussillon;Chicken;2023-02-27;2023-02-27;2023-02-27;deposit maroon Checking
4;Keyboard bifurcated;Rubber mesh;2023-02-26;2023-02-27;2023-02-27;Beauty
5;compress panel a;Borders Île-de-France Incredible;2023-02-26;2023-02-27;2023-02-26;platforms lime Tunisie
6;Huchette Gloves;b responsive;2023-02-27;2023-02-26;2023-02-27;Rustic withdrawal
7;du Garden solution;deposit;2023-02-26;2023-02-26;2023-02-27;Tugrik Chat-qui-Pêche
8;Automotive;b Electronics;2023-02-27;2023-02-26;2023-02-26;c
9;Frozen Krona Garden;overriding Architecte;2023-02-26;2023-02-27;2023-02-27;Chicken
10;Paix;Superviseur fuchsia;2023-02-27;2023-02-26;2023-02-27;Shirt Baby
